=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
364273 29.60 101171.60 29.63 41051.96 7
365023 29.68 101169.94 29.66 42737.90 8
366522 29.76 101167.10 29.60 44661.55 0
366772 29.70 101168.44 29.57 2098360.75 1
368022 29.31 101164.07 29.49 1955598.00 2
368022 29.31 101164.07 29.49 1955598.00 2
368022 29.31 101164.07 29.49 1955598.00 2
372271 29.19 101154.77 29.54 1798463.25 3
373020 29.37 101153.51 29.58 240658.05 4
373770 29.48 101151.89 29.60 235836.02 5
374270 29.52 101150.59 29.58 230734.56 6
375020 29.60 101147.17 29.60 40894.57 7
376520 29.73 101145.91 29.56 43880.70 9
377519 29.70 101145.38 29.53 2066599.38 1
378769 29.31 101140.12 29.44 1944457.63 2
378769 29.31 101140.12 29.44 1944457.63 2
378769 29.31 101140.12 29.44 1944457.63 2
378769 29.31 101140.12 29.44 1944457.63 2
383018 29.19 101129.16 29.51 1785527.50 3
383768 29.37 101128.31 29.53 238305.80 4
384518 29.49 101128.83 29.54 236982.19 5
385018 29.53 101126.47 29.56 230423.05 6
386517 29.69 101123.93 29.53 42823.69 8
387267 29.74 101122.86 29.53 44107.51 9
388267 29.70 101121.41 29.44 2069732.25 1
389516 29.32 101117.65 29.41 1925264.38 2
389516 29.32 101117.65 29.41 1925264.38 2
389516 29.32 101117.65 29.41 1925264.38 2
393765 29.20 101108.92 29.42 1776235.88 3
394515 29.38 101105.12 29.47 242366.86 4
395015 29.49 101106.03 29.49 235348.20 5
395765 29.53 101102.89 29.46 231046.94 6
396514 29.61 101101.49 29.50 41051.96 7
397264 29.70 101099.41 29.49 42652.45 8
398764 29.70 101095.44 29.41 2035785.25 1
400263 29.32 101091.35 29.34 1918501.13 2
400263 29.32 101091.35 29.34 1918501.13 2
400263 29.32 101091.35 29.34 1918501.13 2
400263 29.32 101091.35 29.34 1918501.13 2
404512 29.19 101080.66 29.37 1778549.75 3
405262 29.37 101078.63 29.42 240488.50 4
405762 29.48 101078.05 29.44 234057.14 5
406512 29.53 101074.92 29.45 230423.05 6
407261 29.61 101072.35 29.44 41051.96 7
408511 29.75 101067.09 29.39 43745.73 9
409511 29.71 101066.15 29.36 2082358.88 1
411011 29.32 101065.91 29.29 1958403.00 2
411011 29.32 101065.91 29.29 1958403.00 2
411011 29.32 101065.91 29.29 1958403.00 2
411011 29.32 101065.91 29.29 1958403.00 2
415259 29.20 101055.35 29.33 1797279.50 3
415759 29.38 101053.74 29.40 241509.44 4
416509 29.50 101048.70 29.40 237807.70 5
