=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:42:47 =~=~=~=~=~=~=~=~=~=~=~=
2996013 29.16 100824.72 18.14 102400000.00 3
2996763 29.38 100826.62 18.14 6955635.50 4
2997512 29.52 100829.93 18.16 6894172.00 5
2998262 29.57 100829.42 18.17 6675086.50 6
2998762 29.65 100828.73 18.13 636617.94 7
2999512 29.74 100827.91 18.19 656199.94 8
3000262 29.80 100829.35 18.19 667101.00 9
3001011 29.83 100830.82 18.13 674349.69 0
3001261 29.74 100830.48 18.13 102400000.00 1
3002761 29.31 100829.65 18.06 102400000.00 2
3006759 29.20 100832.13 18.03 102400000.00 3
3007509 29.43 100835.51 18.08 6894172.00 4
3008258 29.55 100834.75 18.05 6774447.00 5
3009008 29.60 100835.13 18.05 6712003.50 6
3009508 29.69 100834.45 18.02 637212.19 7
3010258 29.79 100833.00 18.06 649334.19 8
3011007 29.83 100833.60 18.04 664503.56 9
3011757 29.86 100833.75 18.01 673684.19 0
3012007 29.77 100830.54 18.01 102400000.00 1
3013507 29.35 100831.77 17.96 102400000.00 2
3017505 29.23 100830.93 17.93 102400000.00 3
3018254 29.46 100832.70 17.96 6920380.00 4
3019004 29.59 100834.35 17.97 6795520.50 5
3019754 29.64 100835.22 17.93 6654752.00 6
3020504 29.73 100832.76 17.99 634841.94 7
3021004 29.83 100834.11 17.94 654940.81 8
3021753 29.87 100834.53 17.93 660645.19 9
3022503 29.89 100832.97 17.87 675684.56 0
3022753 29.82 100832.47 17.91 102400000.00 1
3024252 29.38 100833.24 17.85 102400000.00 2
3028251 29.28 100833.36 17.81 102400000.00 3
3029000 29.50 100835.61 17.83 6964506.00 4
3029750 29.63 100835.58 17.87 6787075.50 5
3030500 29.68 100836.75 17.85 6658809.00 6
3031249 29.77 100833.77 17.86 634252.06 7
3031749 29.86 100833.45 17.82 649952.38 8
3032499 29.91 100836.37 17.92 663857.38 9
3033249 29.94 100836.55 17.79 673020.06 0
3033499 29.86 100835.81 17.81 102400000.00 1
3034998 29.43 100833.75 17.73 102400000.00 2
3038996 29.31 100831.89 17.72 102400000.00 3
3039746 29.54 100834.49 17.76 6911622.00 4
3040496 29.67 100834.79 17.76 6749330.50 5
3041246 29.72 100832.23 17.76 6699652.50 6
