=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
769834 28.86 101054.00 12.08 282951.09 4
770584 28.97 101053.11 12.07 282951.09 5
771833 29.08 101048.05 12.06 52729.14 7
772583 29.16 101045.20 12.08 53024.03 8
773333 29.21 101042.66 12.05 53322.22 9
774333 29.18 101038.38 12.04 1973975.88 1
775582 28.80 101031.40 11.96 1934813.38 2
775582 28.80 101031.40 11.96 1934813.38 2
775582 28.80 101031.40 11.96 1934813.38 2
779830 28.67 101016.72 11.91 1876317.00 3
780580 28.85 101016.91 11.93 278791.19 4
781330 28.96 101014.81 11.92 277431.59 5
781829 29.00 101010.77 11.93 276085.19 6
782579 29.07 101008.12 11.93 51863.86 7
783329 29.15 101006.70 11.92 52341.04 8
784578 29.23 101000.88 11.91 52664.06 0
785078 29.17 100998.73 11.88 1903788.00 1
786328 28.79 100996.21 11.82 1858439.25 2
786328 28.79 100996.21 11.82 1858439.25 2
786328 28.79 100996.21 11.82 1858439.25 2
790576 28.66 100982.62 11.77 1826125.75 3
791326 28.85 100979.73 11.78 272340.44 4
791826 28.96 100975.99 11.78 272775.72 5
792576 29.00 100975.17 11.79 271474.03 6
793325 29.07 100972.95 11.79 51118.21 7
794824 29.20 100964.29 11.75 51895.40 9
795824 29.17 100962.81 11.74 1853393.63 1
797074 28.79 100957.81 11.67 1811587.75 2
797074 28.79 100957.81 11.67 1811587.75 2
797074 28.79 100957.81 11.67 1811587.75 2
797074 28.79 100957.81 11.67 1811587.75 2
801322 28.66 100947.37 11.64 1778549.75 3
802072 28.85 100945.59 11.63 266597.25 4
802571 28.96 100943.05 11.63 266181.44 5
803321 29.01 100940.40 11.63 265560.16 6
804820 29.16 100935.63 11.60 51026.51 8
805570 29.20 100932.15 11.61 51118.21 9
806320 29.17 100928.29 11.59 1796097.38 1
807819 28.79 100924.84 11.53 1754551.25 2
807819 28.79 100924.84 11.53 1754551.25 2
807819 28.79 100924.84 11.53 1754551.25 2
807819 28.79 100924.84 11.53 1754551.25 2
812068 28.66 100910.86 11.48 1730095.00 3
812817 28.84 100905.59 11.49 261091.28 4
813317 28.96 100902.63 11.49 261091.28 5
814816 29.07 100897.31 11.49 50009.77 7
815566 29.15 100894.75 11.47 50274.94 8
816816 29.22 100889.47 11.46 50662.97 0
817066 29.16 100890.23 11.46 1757939.88 1
818565 28.78 100881.33 11.41 1722455.88 2
818565 28.78 100881.33 11.41 1722455.88 2
818565 28.78 100881.33 11.41 1722455.88 2
822813 28.65 100866.10 11.34 1691513.50 3
823313 28.84 100865.27 11.36 258716.53 4
824063 28.95 100863.86 11.35 257934.52 5
824813 28.99 100861.52 11.37 256192.14 6
825562 29.06 100859.06 11.35 49401.77 7
826812 29.19 100850.27 11.33 49951.22 9
827811 29.16 100848.43 11.33 1699937.75 1
829311 28.78 100843.64 11.26 1681100.00 2
829311 28.78 100843.64 11.26 1681100.00 2
829311 28.78 100843.64 11.26 1681100.00 2
829311 28.78 100843.64 11.26 1681100.00 2
833559 28.66 100831.04 11.18 1635782.75 3
834059 28.84 100828.82 11.21 251473.48 4
834809 28.95 100823.70 11.22 252964.42 5
835559 28.99 100825.63 11.21 251844.56 6
837058 29.15 100824.40 11.22 49089.16 8
837558 29.20 100822.02 11.22 49344.64 9
838557 29.17 100821.01 11.20 1654615.25 1
840057 28.79 100813.38 11.14 1625074.38 2
840057 28.79 100813.38 11.14 1625074.38 2
840057 28.79 100813.38 11.14 1625074.38 2
840057 28.79 100813.38 11.14 1625074.38 2
844305 28.65 100797.20 11.08 1582689.38 3
844805 28.84 100793.02 11.08 248362.84 4
845554 28.95 100791.26 11.10 248362.84 5
847054 29.07 100786.52 11.09 48066.09 7
847554 29.14 100782.19 11.07 48558.42 8
849053 29.22 100776.69 11.06 48475.67 0
849303 29.16 100776.90 11.06 1606904.63 1
850802 28.78 100772.39 11.01 1568147.00 2
850802 28.78 100772.39 11.01 1568147.00 2
850802 28.78 100772.39 11.01 1568147.00 2
854801 28.65 100760.84 10.97 1553869.50 3
855551 28.83 100758.91 10.97 243751.48 4
856300 28.94 100755.64 10.99 243230.41 5
857050 28.99 100753.28 10.98 241680.44 6
857800 29.05 100749.17 10.99 47716.68 7
859049 29.18 100743.64 10.96 48311.00 9
860049 29.15 100741.50 10.94 1577204.50 1
861548 28.77 100738.05 10.89 1545952.13 2
861548 28.77 100738.05 10.89 1545952.13 2
861548 28.77 100738.05 10.89 1545952.13 2
861548 28.77 100738.05 10.89 1545952.13 2
865547 28.65 100726.59 10.84 1515914.13 3
866296 28.83 100723.45 10.87 239140.59 4
867046 28.94 100720.00 10.87 241680.44 5
867796 28.99 100717.85 10.86 239476.14 6
869045 29.14 100716.76 10.85 46562.39 8
869795 29.19 100713.24 10.85 46817.85 9
870795 29.16 100710.49 10.83 1510046.13 1
872294 28.78 100706.54 10.77 1469153.50 2
872294 28.78 100706.54 10.77 1469153.50 2
872294 28.78 100706.54 10.77 1469153.50 2
872294 28.78 100706.54 10.77 1469153.50 2
876292 28.65 100693.20 10.73 1435178.75 3
877042 28.82 100690.38 10.74 234862.39 4
877792 28.94 100690.43 10.73 235024.09 5
879041 29.05 100686.23 10.75 45470.69 7
879791 29.14 100683.70 10.73 46010.07 8
880541 29.18 100680.95 10.74 46010.07 9
881540 29.15 100677.76 10.71 1459729.13 1
883039 28.77 100671.33 10.68 1433671.63 2
883039 28.77 100671.33 10.68 1433671.63 2
883039 28.77 100671.33 10.68 1433671.63 2
887038 28.64 100659.29 10.61 1398429.50 3
887787 28.82 100657.10 10.64 230734.56 4
888537 28.93 100655.88 10.64 230734.56 5
889287 28.98 100653.59 10.63 229185.31 6
889787 29.05 100650.91 10.63 45133.99 7
890537 29.13 100648.81 10.62 45519.20 8
892036 29.20 100642.28 10.63 45861.70 0
892286 29.14 100642.78 10.62 1429169.63 1
893536 28.77 100639.29 10.57 1399863.25 2
893536 28.77 100639.29 10.57 1399863.25 2
893536 28.77 100639.29 10.57 1399863.25 2
897784 28.64 100628.09 10.52 1381450.25 3
898534 28.82 100625.45 10.54 228571.42 4
899283 28.93 100623.19 10.52 227808.67 5
900033 28.98 100621.46 10.53 226298.34 6
901282 29.13 100616.30 10.55 44896.53 8
902032 29.17 100613.27 10.54 45038.71 9
903032 29.14 100611.17 10.49 1408528.25 1
904281 28.76 100607.85 10.47 1371734.75 2
904281 28.76 100607.85 10.47 1371734.75 2
904281 28.76 100607.85 10.47 1371734.75 2
904281 28.76 100607.85 10.47 1371734.75 2
908529 28.63 100601.87 10.39 1340752.88 3
909279 28.81 100601.16 10.42 222318.72 4
910029 28.93 100599.22 10.42 223336.97 5
911278 29.04 100594.37 10.41 44244.73 7
912028 29.12 100591.93 10.42 44475.33 8
912778 29.16 100589.44 10.41 44521.74 9
913778 29.14 100586.88 10.43 1363515.38 1
915027 28.75 100585.34 10.35 1332899.50 2
915027 28.75 100585.34 10.35 1332899.50 2
915027 28.75 100585.34 10.35 1332899.50 2
919275 28.63 100573.56 10.31 1302384.75 3
920025 28.80 100572.38 10.30 220737.23 4
